variant,seed,n_params,val_IC_return,test_IC_return,test_R2_return,HMDonly_IC_level,HMDonly_R2_level,HMDGRU_IC_level,HMDGRU_R2_level,IC_delta_level,R2_delta_level,persistence_IC_level,persistence_R2_level
buggy,42,4449,0.2540483413855235,0.24309182295849321,0.10708349943161011,0.8239739162284451,0.9953431719019132,0.8502870513126578,0.9959039152486444,0.026313135084212735,0.000560743346731174,0.6143078495873863,0.9872658586446368
buggy,0,4449,0.2835149733315413,0.27759586348668785,0.10042333602905273,0.8239739162284451,0.9953431719019132,0.8508167183204165,0.9958733634584419,0.02684280209197143,0.0005301915565286697,0.6143078495873863,0.9872658586446368
buggy,1,4449,0.2801470343878845,0.2704067024277784,0.10268086194992065,0.8239739162284451,0.9953431719019132,0.849036705095634,0.9958837190853116,0.025062788867188934,0.0005405471833983544,0.6143078495873863,0.9872658586446368
buggy,2,4449,0.2686303201365014,0.256478713984861,0.09415268898010254,0.8239739162284451,0.9953431719019132,0.8443164758186567,0.9958445977591072,0.020342559590211584,0.0005014258571939267,0.6143078495873863,0.9872658586446368
buggy,3,4449,0.24781398094090143,0.22787215599543115,0.0640561580657959,0.8239739162284451,0.9953431719019132,0.8437556194303565,0.995706535276534,0.019781703201911416,0.00036336337462072876,0.6143078495873863,0.9872658586446368
alaw,42,4449,0.22646921624465266,0.23141532192255243,0.05132424831390381,0.8239739162284451,0.9953431719019132,0.8476395072929739,0.9956481297621995,0.023665591064528813,0.00030495786028628125,0.6143078495873863,0.9872658586446368
alaw,0,4449,0.22158222072902511,0.23083610917430908,0.03782087564468384,0.8239739162284451,0.9953431719019132,0.8495071855890647,0.9955861860100073,0.025533269360619615,0.00024301410809401958,0.6143078495873863,0.9872658586446368
alaw,1,4449,0.2447025142341323,0.23432644116527507,0.07826590538024902,0.8239739162284451,0.9953431719019132,0.8452637386527535,0.9957717201271533,0.021289822424308436,0.0004285482252400774,0.6143078495873863,0.9872658586446368
alaw,2,4449,0.25988182009730476,0.2510065247782116,0.07229769229888916,0.8239739162284451,0.9953431719019132,0.849026460949628,0.9957443416304503,0.0250525447211829,0.00040116972853709854,0.6143078495873863,0.9872658586446368
alaw,3,4449,0.2402315783591525,0.24240485991480543,0.0514073371887207,0.8239739162284451,0.9953431719019132,0.8457994428363325,0.9956485108277862,0.02182552660788739,0.0003053389258729222,0.6143078495873863,0.9872658586446368
blaw,42,4449,0.2993958026428294,0.30670727171286166,0.15491682291030884,0.7907718398433032,0.9957427111286338,0.8284951480904993,0.9964022992021111,0.03772330824719605,0.0006595880734773241,0.6143078495873863,0.9872658586446368
blaw,0,4449,0.29070446910457093,0.2841957485566831,0.14417707920074463,0.7907718398433032,0.9957427111286338,0.8210756108409398,0.996356577783925,0.030303770997636592,0.0006138666552911731,0.6143078495873863,0.9872658586446368
blaw,1,4449,0.2965944281696013,0.2910109142996082,0.13296425342559814,0.7907718398433032,0.9957427111286338,0.82166909256967,0.9963088423690631,0.030897252726366786,0.0005661312404293684,0.6143078495873863,0.9872658586446368
blaw,2,4449,0.28713539430693363,0.28294066061565515,0.14071345329284668,0.7907718398433032,0.9957427111286338,0.8206360443887927,0.9963418324458209,0.029864204545489437,0.0005991213171870902,0.6143078495873863,0.9872658586446368
blaw,3,4449,0.30201760765941305,0.2889833704245746,0.1563614010810852,0.7907718398433032,0.9957427111286338,0.830735629907047,0.9964084489381219,0.03996379006374373,0.0006657378094880873,0.6143078495873863,0.9872658586446368
